Date,U.S. Exports of Crude Oil and Petroleum Products (Thousand Barrels),U.S. Exports of Crude Oil (Thousand Barrels),U.S. Exports of Natural Gas Liquids and Liquid Refinery Gases (Thousand Barrels),U.S. Exports of Pentanes Plus (Thousand Barrels),U.S. Exports of Liquified Petroleum Gases (Thousand Barrels),U.S. Exports of Ethane-Ethylene (Thousand Barrels),U.S. Exports of Propane and Propylene (Thousand Barrels),U.S. Exports of Normal Butane-Butylene (Thousand Barrels),U.S. Exports of Isobutane-Isobutylene (Thousand Barrels),U.S. Exports of Other Liquids (Thousand Barrels),U.S. Exports of Other Hydrocarbons/Oxygenates (Thousand Barrels),U.S. Exports of Oxygenates (excluding Fuel Ethanol) (Thousand Barrels),U.S. Exports of MTBE (Thousand Barrels),U.S. Exports of Other Oxygenates (Thousand Barrels),U.S. Exports of Renewable Fuels (including Fuel Ethanol) (Thousand Barrels),U.S. Exports of Fuel Ethanol (Thousand Barrels),U.S. Exports of Biomass-Based Diesel Fuel (Thousand Barrels),U.S. Exports of Unfinished Oils (Thousand Barrels),U.S. Exports of Naphthas and Lighter (Thousand Barrels),U.S. Exports of Kerosene and Light Oils (Thousand Barrels),U.S. Exports of Gasoline Blending Components (Thousand Barrels),U.S. Exports of Reformulated Gasoline Blending Components (Thousand Barrels),U.S. Exports of Conventional Gasoline Blending Components (Thousand Barrels),U.S. Exports of Aviation Gasoline Blending Components (Thousand Barrels),U.S. Exports of Finished Petroleum Products (Thousand Barrels),U.S. Exports of Finished Motor Gasoline (Thousand Barrels),U.S. Exports of Reformulated Motor Gasoline (Thousand Barrels),U.S. Exports of Conventional Motor Gasoline (Thousand Barrels),U.S. Exports of Aviation Gasoline (Thousand Barrels),U.S. Exports of Kerosene-Type Jet Fuel (Thousand Barrels),U.S. Exports of Kerosene (Thousand Barrels),U.S. Exports of Distillate Fuel Oil (Thousand Barrels),"U.S. Exports of Distillate Fuel Oil, 0 to 15 ppm Sulfur (Thousand Barrels)","U.S. Exports of Distillate Fuel Oil, Greater than 15 to 500 ppm Sulfur (Thousand Barrels)","U.S. Exports of Distillate Fuel Oil, Greater Than 500 ppm Sulfur (Thousand Barrels)",U.S. Exports of Residual Fuel Oil (Thousand Barrels),U.S. Exports of Naphtha for Petrochemical Feedstock Use (Thousand Barrels),U.S. Exports of Other Oils for Petrochemical Feedstock Use (Thousand Barrels),U.S. Exports of Special Naphthas (Thousand Barrels),U.S. Exports of Lubricants (Thousand Barrels),U.S. Exports of Waxes (Thousand Barrels),U.S. Exports of Petroleum Coke (Thousand Barrels),U.S. Exports of Asphalt and Road Oil (Thousand Barrels),U.S. Exports of Miscellaneous Petroleum Products (Thousand Barrels),
Jan-1920,,469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-1920,,853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-1920,,892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-1920,,693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-1920,,761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-1920,,627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-1920,,723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-1920,,553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-1920,,790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-1920,,777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-1920,,796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-1920,,823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-1921,,743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-1921,,794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-1921,,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-1921,,748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-1921,,874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-1921,,586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-1921,,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-1921,,885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-1921,,881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-1921,,747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-1921,,869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-1921,,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-1922,,727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
