Region and country of last residence,Total,Family-sponsored preferences,Employment-based preferences,Immediate relatives of U.S. citizens,Diversity,Refugees and asylees,Other
Total," 1,051,031 "," 213,910 "," 144,047 "," 465,068 "," 47,934 "," 151,995 "," 28,077 "
Afghanistan," 7,527 ", 202 , 9 , 857 , 45 , 185 ," 6,229 "
Albania," 4,354 ", 557 , 64 ," 1,927 "," 1,649 ", 139 , 18 
Algeria," 1,660 ", 97 , 5 , 543 , 989 , 19 , 7 
Angola, 160 , 6 , 16 , 85 , 14 , 39 , - 
Anguilla, 22 , D , D , 18 , - , - , 1 
Antigua-Barbuda, 320 , 114 , 13 , 186 , 4 , D , D 
Argentina," 3,542 ", 188 , 935 ," 2,171 ", 50 , 134 , 64 
Armenia," 3,008 ", 250 , 104 ," 1,097 "," 1,317 ", 229 , 11 
Aruba, 39 , 4 , 3 , 32 , - , - , - 
Australia," 3,795 ", 202 ," 1,296 "," 1,808 ", 475 , 5 , 9 
Austria," 1,928 ", D , 183 , 253 , 37 ," 1,429 ", D 
Azerbaijan, 511 , 36 , 25 , 215 , 173 , 59 , 3 
Bahamas, 801 , 66 , 101 , 604 , 7 , 17 , 6 
Bahrain, 195 , 25 , 42 , 74 , D , 44 , D 
Bangladesh," 13,210 "," 6,910 ", 494 ," 5,607 ", D , 159 , D 
Barbados, 398 , 107 , 35 , 242 , 8 , - , 6 
Belarus," 1,991 ", 87 , 192 , 700 , 774 , 232 , 6 
Belgium, 809 , 17 , 382 , 341 , 55 , D , D 
Belize, 804 , 188 , 40 , 559 , - , 6 , 11 
Benin, 491 , 20 , 9 , 231 , 195 , 32 , 4 
Bermuda, 150 , 22 , 42 , 83 , - , D , D 
Bhutan, 94 , - , D , 18 , D , 72 , - 
Bolivia," 1,549 ", 250 , 201 , 986 , 12 , 46 , 54 
Bosnia-Herzegovina, 767 , 56 , D , 584 , 45 , 41 , D 
Botswana, 111 , 4 , 18 , 38 , 12 , 39 , - 
Brazil," 11,247 ", 476 ," 2,604 "," 7,856 ", 16 , 113 , 182 
British Virgin Islands, 75 , 21 , 9 , 41 , - , - , 4 
Brunei, 18 , D , D , 11 , - , - , - 
Bulgaria," 2,585 ", 122 , 240 ," 1,361 ", 803 , 47 , 12 
Burkina Faso, 605 , 31 , 13 , 273 , 117 , 168 , 3 
Burma," 1,875 ", 425 , D , 655 , 112 , 654 , D 
Burundi, 288 , 8 , 4 , 52 , 38 , 186 , - 
Cambodia," 1,776 ", 312 , 52 ," 1,174 ", 195 , 39 , 4 
Cameroon," 4,245 ", 408 , 75 ," 1,505 "," 1,401 ", 850 , 6 
Canada," 19,309 "," 1,556 "," 9,655 "," 7,547 ", 241 , 68 , 242 
Cape Verde," 1,237 ", 565 , 5 , 653 , 7 , 4 , 3 
Cayman Islands, 100 , 15 , 19 , 55 , 8 , 3 , - 
Central African Republic, 45 , - , D , 19 , D , 23 , - 
Chad, 297 , D , 7 , 25 , D , 258 , 1 
Chile," 1,620 ", 124 , 346 ," 1,052 ", 20 , 42 , 36 
"China, People's Republic"," 70,977 "," 13,824 "," 20,594 "," 26,936 ", 36 ," 9,361 ", 226 
Colombia," 16,509 "," 3,102 "," 1,161 "," 11,516 ", 13 , 587 , 130 
"Congo, Democratic Republic"," 3,482 ", 161 , 20 , 442 ," 2,491 ", 363 , 5 
"Congo, Republic", 335 , 18 , 8 , 80 , 69 , 153 , 7 
Costa Rica," 2,121 ", 174 , 242 ," 1,622 ", 8 , 39 , 36 
Cote d'Ivoire," 1,388 ", 107 , 51 , 557 , 349 , 284 , 40 
Croatia, 308 , 8 , 40 , 216 , 21 , 23 , - 
Cuba," 54,178 "," 2,187 ", 7 ," 3,823 ", 428 ," 47,670 ", 63 
Curacao, 20 , - , D , 14 , - , D , - 
Cyprus, 153 , 8 , 52 , 72 , 17 , 4 , - 
Czech Republic, 615 , 17 , 102 , 435 , 50 , 7 , 4 
Czechoslovakia (former), 79 , D , 35 , 39 , - , D , 2 
Denmark, 634 , 17 , 302 , 284 , 26 , D , D 
Djibouti," 1,925 ", 259 , D ," 1,040 ", D , 614 , - 
Dominica, 220 , 114 , D , D , - , - , - 
Dominican Republic," 50,382 "," 26,365 ", 376 ," 23,381 ", D , D , 144 
Ecuador," 9,816 "," 3,052 ", 614 ," 5,225 ", D , D , 541 
Egypt," 13,907 ", 895 , 671 ," 3,399 "," 2,802 "," 6,118 ", 22 
El Salvador," 18,699 "," 6,785 "," 1,306 "," 8,861 ", 3 , 357 ," 1,387 "
Equatorial Guinea, 32 , D , D , 13 , 5 , 9 , - 
Eritrea, 772 , 32 , D , 334 , 59 , 336 , D 
Estonia, 175 , 8 , 17 , 126 , 19 , D , D 
Ethiopia," 12,566 "," 1,623 ", 124 ," 3,541 "," 2,509 "," 4,754 ", 15 
Fiji, 837 , 300 , 9 , 330 , 161 , 34 , 3 
Finland, 397 , D , 186 , 184 , 20 , - , D 
France," 5,034 ", 206 ," 2,207 "," 2,200 ", 369 , 42 , 10 
French Polynesia, 11 , - , D , D , - , - , - 
Gabon, 175 , D , 16 , 91 , 18 , 40 , D 
Gambia," 1,151 ", 95 , 39 , 731 , 8 , 238 , 40 
Georgia," 1,317 ", 104 , 52 , 689 , 395 , 74 , 3 
Germany," 5,965 ", 238 ," 1,908 "," 3,253 ", 468 , 61 , 37 
Ghana," 6,316 ", 896 , 313 ," 4,316 ", 488 , 284 , 19 
Greece," 1,330 ", 89 , 277 , 755 , 194 , D , D 
Grenada, 524 , 118 , 33 , 355 , D , D , 12 
Guatemala," 11,466 "," 2,640 "," 1,578 "," 5,135 ", 26 , 614 ," 1,473 "
Guinea," 1,418 ", 97 , 10 , 441 , 288 , 546 , 36 
Guinea-Bissau, 28 , D , - , 22 , D , D , - 
Guyana," 5,313 "," 3,329 ", 48 ," 1,892 ", 8 , 13 , 23 
Haiti," 16,787 "," 6,954 ", 115 ," 8,339 ", 6 ," 1,241 ", 132 
Honduras," 9,071 "," 1,960 "," 1,184 "," 4,958 ", 27 , 276 , 666 
Hong Kong," 2,426 ", 993 , 500 , 847 , 49 , 26 , 11 
Hungary," 1,037 ", 32 , 213 , 662 , 111 , 15 , 4 
Iceland, 112 , 4 , 47 , 43 , 18 , - , - 
India," 61,380 "," 13,993 "," 25,780 "," 19,918 ", 65 ," 1,193 ", 431 
Indonesia," 1,935 ", 117 , 395 ," 1,153 ", 47 , 183 , 40 
Iran," 9,074 "," 2,035 "," 1,061 "," 3,006 "," 2,233 ", 724 , 15 
Iraq," 10,255 ", 121 , 25 , 737 , 20 ," 8,464 ", 888 
Ireland," 1,798 ", 54 , 781 , 897 , 60 , D , D 
Israel," 4,324 ", 202 ," 1,807 "," 2,044 ", 205 , 47 , 19 
Italy," 3,829 ", 177 ," 1,085 "," 2,029 ", 355 , 167 , 16 
Jamaica," 17,362 "," 5,344 ", 578 ," 11,296 ", 3 , 63 , 78 
Japan," 5,808 ", 162 ," 2,157 "," 3,260 ", 185 , 29 , 15 
Jordan," 7,835 "," 1,239 ", 270 ," 2,634 ", 117 ," 3,549 ", 26 
Kazakhstan, 983 , 29 , 76 , 478 , 278 , 119 , 3 
Kenya," 8,025 ", 492 , 340 ," 2,895 "," 1,046 "," 3,220 ", 32 
"Korea, North", 68 , 5 , 11 , 49 , D , D , - 
"Korea, South"," 16,908 ", 930 ," 9,214 "," 6,671 ", 19 , 11 , 63 
Kosovo, 788 , 109 , 10 , 456 , 112 , 101 , - 
Kuwait, 846 , 112 , 152 , 388 , D , 134 , D 
Kyrgyzstan, 802 , 26 , 32 , 263 , 224 , 252 , 5 
Laos, 882 , 80 , 41 , 739 , - , 22 , - 
Latvia, 460 , 21 , 27 , 357 , 44 , 5 , 6 
Lebanon," 4,499 ", 731 , 350 ," 1,465 ", 39 ," 1,899 ", 15 
Lesotho, 26 , - , 5 , 16 , D , D , 2 
Liberia," 3,580 ", 280 , 21 ," 1,234 "," 1,811 ", 221 , 13 
Libya, 333 , 9 , 11 , 231 , 56 , 26 , - 
Lithuania, 700 , 38 , 51 , 491 , 108 , 6 , 6 
Luxembourg, 35 , D , 15 , 14 , 3 , D , - 
Macau, 121 , 61 , 12 , 37 , 11 , - , - 
Macedonia," 1,041 ", 129 , 54 , 626 , 206 , D , D 
Madagascar, 58 , 8 , 8 , 26 , 16 , - , - 
Malawi, 278 , 5 , 19 , 80 , 5 , 169 , - 
Malaysia," 9,338 ", 189 , 533 , 757 , 49 ," 7,790 ", 20 
Mali, 590 , 25 , 15 , 312 , 13 , 176 , 49 
Malta, 468 , D , 12 , 17 , D , 436 , - 
Marshall Islands, 34 , - , 3 , 31 , - , - , - 
Mauritania, 256 , 4 , 3 , 102 , D , 144 , D 
Mauritius, 69 , 6 , 18 , 41 , D , D , - 
Mexico," 157,227 "," 41,497 "," 6,523 "," 97,593 ", 23 , 757 ," 10,834 "
Moldova," 2,405 ", 77 , 56 , 726 ," 1,276 ", 265 , 5 
Monaco, 14 , D , 5 , 5 , D , - , - 
Mongolia, 632 , 31 , 86 , 330 , 67 , 97 , 21 
Montenegro, 249 , 37 , 7 , 185 , D , 13 , D 
